NomeEmpreendimento;TituloGrupo;NomeGrupo;TituloUnidade;NomeUnidade;Situacao;DimensaoFrente;DimensaoFundos;DimensaoEsquerda;DimensaoDireita;DimensaoOutros;Descricao;Observacoes;AreaTotal;ValorMetroQuadrado;ConfrontacaoFrente;ConfrontacaoFundos;ConfrontacaoEsquerda;ConfrontacaoDireita;NumeroMatricula;DataMatricula;ValorUnidade
Jardim das Acácias II;Quadra;002;Lote;024;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA JOSÉ QUIRINO FILHO;Lote 35;Lote 23;Lote 24;28641;30/03/2022;60327,27
Jardim das Acácias II;Quadra;002;Lote;025;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;278,25;RUA JOSÉ QUIRINO FILHO;Lote 34;Lote 24;Lote 25;28642;30/03/2022;44520
Jardim das Acácias II;Quadra;002;Lote;026;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;278,25;RUA JOSÉ QUIRINO FILHO;Lote 33;Lote 25;Lote 26;28643;30/03/2022;44520
Jardim das Acácias II;Quadra;002;Lote;027;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;278,25;RUA JOSÉ QUIRINO FILHO;Lote 32;Lote 26;Lote 27;28644;30/03/2022;44520
Jardim das Acácias II;Quadra;002;Lote;028;Vendida;12,01;10,00;20,70;21,65;0,00;ESQUINA ;;228,03;265;RUA MANOEL PEREIRA DA SILVA;Lote 27;Lote 27;RUA JOAQUIM DE PAULO MARQUES;28645;30/03/2022;60427,95
Jardim das Acácias II;Quadra;002;Lote;029;Vendida;10,26;10,00;19,37;17,99;0,00; ;;204,19;278,25;RUA MANOEL PEREIRA DA SILVA;Lote 27;Lote 28;Lote 31;28646;30/03/2022;56815,87
Jardim das Acácias II;Quadra;002;Lote;030;Vendida;10,09;10,00;21,65;19,37;0,00; ;;185,95;278,25;RUA MANOEL PEREIRA DA SILVA;Lote 32;Lote 29;Lote 30;28647;30/03/2022;51740,59
Jardim das Acácias II;Quadra;002;Lote;031;Vendida;7,09;10,00;20,70;21,65;0,00;ESQUINA ;;175,11;265;RUA MANOEL PEREIRA DA SILVA;Lote 32;Lote 30;Lote 29;28648;30/03/2022;46404,15
Jardim das Acácias II;Quadra;002;Lote;032;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;278,25;RUA JOAQUIM DE PAULO MARQUES;Lote 27;Lote 30 e Lote 31;Lote 33;28649;30/03/2022;44520
Jardim das Acácias II;Quadra;002;Lote;033;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;278,25;RUA JOAQUIM DE PAULO MARQUES;Lote 26;Lote 32;Lote 34;28650;30/03/2022;44520
Jardim das Acácias II;Quadra;002;Lote;034;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;278,25;RUA JOAQUIM DE PAULO MARQUES;Lote 25;Lote 33;Lote 35;28651;30/03/2022;44520
Jardim das Acácias II;Quadra;002;Lote;035;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA JOAQUIM DE PAULO MARQUES;Lote 24;Lote 34;Lote 36;28652;30/03/2022;60327,27
Jardim das Acácias II;Quadra;002;Lote;036;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA JOAQUIM DE PAULO MARQUES;Lote 23;Lote 35;Lote 37;28653;30/03/2022;60327,27
Jardim das Acácias II;Quadra;002;Lote;037;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA JOAQUIM DE PAULO MARQUES;Lote 22;Lote 36;Lote 38;28654;30/03/2022;60327,27
Jardim das Acácias II;Quadra;002;Lote;038;Bloqueada;8,00;8,00;20,00;20,00;0,00; Marlene;Marlene;160;388,02;RUA JOAQUIM DE PAULO MARQUES;Lote 21;Lote 37;Lote 39;28655;30/03/2022;62082,95
Jardim das Acácias II;Quadra;002;Lote;039;Bloqueada;8,00;8,00;20,00;20,00;0,00; Marlene;Marlene;160;388,02;RUA JOAQUIM DE PAULO MARQUES;Lote 20;Lote 38;Lote 40;28656;30/03/2022;62082,95
Jardim das Acácias II;Quadra;002;Lote;040;Bloqueada;8,00;8,00;20,00;20,00;0,00; Marlene;Marlene;160;388,02;RUA JOAQUIM DE PAULO MARQUES;Lote 19;Lote 39;Lote 41;28657;30/03/2022;62082,95
Jardim das Acácias II;Quadra;002;Lote;041;Bloqueada;8,00;8,00;20,00;20,00;0,00; MARLENE;MARLENE;160;388,02;RUA JOAQUIM DE PAULO MARQUES;Lote 18;Lote 40;Lote 42;28658;30/03/2022;62082,95
Jardim das Acácias II;Quadra;002;Lote;042;Bloqueada;8,00;8,00;20,00;20,00;0,00; MARLENE;MARLENE;160;388,02;RUA JOAQUIM DE PAULO MARQUES;Lote 17;Lote 41;Lote 43;28659;30/03/2022;62082,95
Jardim das Acácias II;Quadra;002;Lote;043;Bloqueada;8,00;8,00;20,00;20,00;0,00; MARLENE;MARLENE;160;388,02;RUA JOAQUIM DE PAULO MARQUES;Lote 16;Lote 42;Lote 44;28660;30/03/2022;62082,95
Jardim das Acácias II;Quadra;002;Lote;044;Bloqueada;8,00;8,00;20,00;20,00;0,00; MARLENE;MARLENE;160;388,02;RUA JOAQUIM DE PAULO MARQUES;Lote 15;Lote 43;Lote 45;28661;30/03/2022;62082,95
Jardim das Acácias II;Quadra;002;Lote;045;Bloqueada;8,00;8,00;20,00;20,00;0,00; MARLENE;MARLENE;160;388,02;RUA JOAQUIM DE PAULO MARQUES;Lote 14;Lote 44;Lote 46;28662;30/03/2022;62082,95
Jardim das Acácias II;Quadra;002;Lote;046;Bloqueada;8,00;8,00;20,00;20,00;0,00; MARLENE;MARLENE;160;388,02;RUA JOAQUIM DE PAULO MARQUES;Lote 13;Lote 45;Lote 47;28663;30/03/2022;62082,95
Jardim das Acácias II;Quadra;002;Lote;047;Bloqueada;8,00;8,00;20,00;20,00;0,00; MARLENE;MARLENE;160;388,02;RUA JOAQUIM DE PAULO MARQUES;Lote 12;Lote 46;Lote 48;28664;30/03/2022;62082,95
Jardim das Acácias II;Quadra;002;Lote;048;Bloqueada;8,00;8,00;20,00;20,00;0,00; Thiago;Thiago;160;388,02;RUA JOAQUIM DE PAULO MARQUES;Lote 11;Lote 47;Lote 49;28665;30/03/2022;62082,95
Jardim das Acácias II;Quadra;002;Lote;049;Bloqueada;8,00;8,00;20,00;20,00;0,00; Thiago;Thiago;160;388,02;RUA JOAQUIM DE PAULO MARQUES;Lote 10;Lote 48;Lote 50;28666;30/03/2022;62082,95
Jardim das Acácias II;Quadra;002;Lote;050;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;359,09;RUA JOAQUIM DE PAULO MARQUES;Lote 09;Lote 49;Lote 51;28667;30/03/2022;57454,54
Jardim das Acácias II;Quadra;002;Lote;051;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;341,99;RUA JOAQUIM DE PAULO MARQUES;Lote 08;Lote 50;Lote 52;28668;30/03/2022;54718,61
Jardim das Acácias II;Quadra;002;Lote;052;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA JOAQUIM DE PAULO MARQUES;Lote 07;Lote 51;Lote 53;28669;30/03/2022;60327,27
Jardim das Acácias II;Quadra;002;Lote;053;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;313;RUA JOAQUIM DE PAULO MARQUES;Lote 06;Lote 52;Lote 54;28670;30/03/2022;50080
Jardim das Acácias II;Quadra;002;Lote;054;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;313;RUA JOAQUIM DE PAULO MARQUES;Lote 05;Lote 53;Lote 01 e Lote 02;28671;30/03/2022;50080
Jardim das Acácias II;Quadra;003;Lote;001;Vendida;7,00;10,00;15,82;18,82;0,00;ESQUINA/COM ;;186,27;279;AVENIDA JOÃO COSTA MOURA;Lote 59;RUA JOSÉ QUIRINO FILHO;Lote 02;28672;30/03/2022;51969,33
Jardim das Acácias II;Quadra;003;Lote;002;Vendida;10,00;10,00;18,82;18,82;0,00;COMERCIAL ;;188,2;279;AVENIDA JOÃO COSTA MOURA;Lote 59;Lote 01;Lote 03;28673;30/03/2022;52507,8
Jardim das Acácias II;Quadra;003;Lote;003;Vendida;10,00;10,00;18,82;18,82;0,00;COMERCIAL ;;188,2;279;AVENIDA JOÃO COSTA MOURA;Lote 05;Lote 02;Lote 04;28674;30/03/2022;52507,8
Jardim das Acácias II;Quadra;003;Lote;004;Vendida;7,00;10,00;18,82;15,82;0,00;ESQUINA/COM ;;186,27;279;RUA OVÍDIO FERREIRA BORGES;Lote 05;Lote 03;RUA OVÍDIO FERREIRA BORGES;28675;30/03/2022;51969,33
Jardim das Acácias II;Quadra;003;Lote;005;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;257,78;RUA OVÍDIO FERREIRA BORGES;Lote 59;Lote 04 e Lote 03;Lote 06;28676;30/03/2022;41244,8
Jardim das Acácias II;Quadra;003;Lote;006;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 58;Lote 05;Lote 07;28677;30/03/2022;60327,27
Jardim das Acácias II;Quadra;003;Lote;007;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;329;RUA OVÍDIO FERREIRA BORGES;Lote 57;Lote 06;Lote 08;28678;30/03/2022;52639,98
Jardim das Acácias II;Quadra;003;Lote;008;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 56;Lote 07;Lote 09;28679;30/03/2022;60327,27
Jardim das Acácias II;Quadra;003;Lote;009;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 55;Lote 08;Lote 10;28680;30/03/2022;60327,27
Jardim das Acácias II;Quadra;003;Lote;010;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 54;Lote 09;Lote 11;28681;30/03/2022;60327,27
Jardim das Acácias II;Quadra;003;Lote;011;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 53;Lote 10;Lote 12;28682;30/03/2022;60327,27
Jardim das Acácias II;Quadra;003;Lote;012;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 52;Lote 11;Lote 13;28683;30/03/2022;60327,27
Jardim das Acácias II;Quadra;003;Lote;013;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 51;Lote 12;Lote 14;28684;30/03/2022;60327,27
Jardim das Acácias II;Quadra;003;Lote;014;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 50;Lote 13;Lote 15;28685;30/03/2022;60327,27
Jardim das Acácias II;Quadra;003;Lote;015;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 49;Lote 14;Lote 16;28686;30/03/2022;60327,27
Jardim das Acácias II;Quadra;003;Lote;016;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;359,09;RUA OVÍDIO FERREIRA BORGES;Lote 48;Lote 15;Lote 17;28687;30/03/2022;57454,54
Jardim das Acácias II;Quadra;003;Lote;017;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;313,33;RUA OVÍDIO FERREIRA BORGES;Lote 47;Lote 16;Lote 18;28688;30/03/2022;50133,31
Jardim das Acácias II;Quadra;003;Lote;018;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;359,09;RUA OVÍDIO FERREIRA BORGES;Lote 46;Lote 17;Lote 19;28689;30/03/2022;57454,54
Jardim das Acácias II;Quadra;003;Lote;019;Bloqueada;8,00;8,00;20,00;20,00;0,00; ARI;ARI;160;377,45;RUA OVÍDIO FERREIRA BORGES;Lote 45;Lote 18;Lote 20;28690;30/03/2022;60391,49
Jardim das Acácias II;Quadra;003;Lote;020;Bloqueada;8,00;8,00;20,00;20,00;0,00; ARI;ARI;160;377,45;RUA OVÍDIO FERREIRA BORGES;Lote 44;Lote 19;Lote 21;28691;30/03/2022;60391,49
Jardim das Acácias II;Quadra;003;Lote;021;Bloqueada;8,00;8,00;20,00;20,00;0,00; ARI;ARI;160;377,45;RUA OVÍDIO FERREIRA BORGES;Lote 43;Lote 20;Lote 22;28692;30/03/2022;60391,49
Jardim das Acácias II;Quadra;003;Lote;022;Bloqueada;8,00;8,00;20,00;20,00;0,00; ARI;ARI;160;377,45;RUA OVÍDIO FERREIRA BORGES;Lote 42;Lote 21;Lote 23;28693;30/03/2022;60391,49
Jardim das Acácias II;Quadra;003;Lote;023;Bloqueada;8,00;8,00;20,00;20,00;0,00; ARI;ARI;160;377,45;RUA OVÍDIO FERREIRA BORGES;Lote 41;Lote 22;Lote 24;28694;30/03/2022;60391,49
Jardim das Acácias II;Quadra;003;Lote;024;Bloqueada;8,00;8,00;20,00;20,00;0,00; ARI;ARI;160;377,45;RUA OVÍDIO FERREIRA BORGES;Lote 40;Lote 23;Lote 25;28695;30/03/2022;60391,49
Jardim das Acácias II;Quadra;003;Lote;025;Bloqueada;8,00;8,00;20,00;20,00;0,00; ARI;ARI;160;377,45;RUA OVÍDIO FERREIRA BORGES;Lote 39;Lote 24;Lote 26;28696;30/03/2022;60391,49
Jardim das Acácias II;Quadra;003;Lote;026;Bloqueada;8,00;8,00;20,00;20,00;0,00; ARI;ARI;160;377,45;RUA OVÍDIO FERREIRA BORGES;Lote 38;Lote 25;Lote 27;28697;30/03/2022;60391,49
Jardim das Acácias II;Quadra;003;Lote;027;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 37;Lote 26;Lote 28;28698;30/03/2022;60327,27
Jardim das Acácias II;Quadra;003;Lote;028;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 36;Lote 27;Lote 29;28699;30/03/2022;60327,27
Jardim das Acácias II;Quadra;003;Lote;029;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;284,2;RUA OVÍDIO FERREIRA BORGES;Lote 35;Lote 28;Lote 30;28700;30/03/2022;45472,39
Jardim das Acácias II;Quadra;003;Lote;030;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;284,2;RUA OVÍDIO FERREIRA BORGES;Lote 34;Lote 29;Lote 31;28701;30/03/2022;45472,39
Jardim das Acácias II;Quadra;003;Lote;031;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;257,78;RUA OVÍDIO FERREIRA BORGES;Lote 33;Lote 30;Lote 32;28702;30/03/2022;41244,8
Jardim das Acácias II;Quadra;003;Lote;032;Vendida;4,62;14,91;7,03;6,91;0,00;ESQUINA ;;177,16;257,78;RUA OVÍDIO FERREIRA BORGES;Lote 33;Lote 31;RUA OVÍDIO FERREIRA BORGES;28703;30/03/2022;45668,3
Jardim das Acácias II;Quadra;003;Lote;033;Vendida;7,03;6,91;14,91;4,62;0,00;ESQUINA ;;222,01;257,78;RUA MANOEL PEREIRA DA SILVA;Lote 34;Lote 31 e Lote 32;RUA JOSÉ QUIRINO FILHO;28704;30/03/2022;57229,74
Jardim das Acácias II;Quadra;003;Lote;034;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;359,09;RUA JOSÉ QUIRINO FILHO;Lote 30;Lote 33;Lote 35;28705;30/03/2022;57454,54
Jardim das Acácias II;Quadra;003;Lote;035;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA JOSÉ QUIRINO FILHO;Lote 29;Lote 34;Lote 36;28706;30/03/2022;60327,27
Jardim das Acácias II;Quadra;003;Lote;036;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA JOSÉ QUIRINO FILHO;Lote 28;Lote 35;Lote 37;28707;30/03/2022;60327,27
Jardim das Acácias II;Quadra;003;Lote;037;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;313,33;RUA JOSÉ QUIRINO FILHO;Lote 27;Lote 36;Lote 38;28708;30/03/2022;50133,31
Jardim das Acácias II;Quadra;003;Lote;038;Bloqueada;8,00;8,00;20,00;20,00;0,00; ARI;ARI;160;377,45;RUA JOSÉ QUIRINO FILHO;Lote 26;Lote 37;Lote 39;28709;30/03/2022;60391,49
Jardim das Acácias II;Quadra;003;Lote;039;Bloqueada;8,00;8,00;20,00;20,00;0,00; ARI;ARI;160;377,45;RUA JOSÉ QUIRINO FILHO;Lote 25;Lote 38;Lote 40;28710;30/03/2022;60391,49
Jardim das Acácias II;Quadra;003;Lote;040;Bloqueada;8,00;8,00;20,00;20,00;0,00; ARI;ARI;160;377,45;RUA JOSÉ QUIRINO FILHO;Lote 24;Lote 39;Lote 41;28711;30/03/2022;60391,49
Jardim das Acácias II;Quadra;003;Lote;041;Bloqueada;8,00;8,00;20,00;20,00;0,00; ARI;ARI;160;377,45;RUA JOSÉ QUIRINO FILHO;Lote 23;Lote 40;Lote 42;28712;30/03/2022;60391,49
Jardim das Acácias II;Quadra;003;Lote;042;Bloqueada;8,00;8,00;20,00;20,00;0,00; ARI;ARI;160;377,45;RUA JOSÉ QUIRINO FILHO;Lote 22;Lote 41;Lote 43;28713;30/03/2022;60391,49
Jardim das Acácias II;Quadra;003;Lote;043;Bloqueada;8,00;8,00;20,00;20,00;0,00; ARI;ARI;160;377,45;RUA JOSÉ QUIRINO FILHO;Lote 21;Lote 42;Lote 44;28714;30/03/2022;60391,49
Jardim das Acácias II;Quadra;003;Lote;044;Bloqueada;8,00;8,00;20,00;20,00;0,00; ARI;ARI;160;377,45;RUA JOSÉ QUIRINO FILHO;Lote 20;Lote 43;Lote 45;28715;30/03/2022;60391,49
Jardim das Acácias II;Quadra;003;Lote;045;Bloqueada;8,00;8,00;20,00;20,00;0,00; ARI;ARI;160;377,45;RUA JOSÉ QUIRINO FILHO;Lote 19;Lote 44;Lote 46;28716;30/03/2022;60391,49
Jardim das Acácias II;Quadra;003;Lote;046;Bloqueada;8,00;8,00;20,00;20,00;0,00; ARI;ARI;160;377,45;RUA JOSÉ QUIRINO FILHO;Lote 18;Lote 45;Lote 47;28717;30/03/2022;60391,49
Jardim das Acácias II;Quadra;003;Lote;047;Bloqueada;8,00;8,00;20,00;20,00;0,00; ARI;ARI;160;377,45;RUA JOSÉ QUIRINO FILHO;Lote 17;Lote 46;Lote 48;28718;30/03/2022;60391,49
Jardim das Acácias II;Quadra;003;Lote;048;Bloqueada;8,00;8,00;20,00;20,00;0,00; ARI;ARI;160;377,45;RUA JOSÉ QUIRINO FILHO;Lote 16;Lote 47;Lote 49;28719;30/03/2022;60391,49
Jardim das Acácias II;Quadra;003;Lote;049;Bloqueada;8,00;8,00;20,00;20,00;0,00; ARI;ARI;160;377,45;RUA JOSÉ QUIRINO FILHO;Lote 15;Lote 48;Lote 50;28720;30/03/2022;60391,49
Jardim das Acácias II;Quadra;003;Lote;050;Bloqueada;8,00;8,00;20,00;20,00;0,00; ARI;ARI;160;377,45;RUA JOSÉ QUIRINO FILHO;Lote 14;Lote 49;Lote 51;28721;30/03/2022;60391,49
Jardim das Acácias II;Quadra;003;Lote;051;Bloqueada;8,00;8,00;20,00;20,00;0,00; ARI;ARI;160;377,45;RUA JOSÉ QUIRINO FILHO;Lote 13;Lote 50;Lote 52;28722;30/03/2022;60391,49
Jardim das Acácias II;Quadra;003;Lote;052;Bloqueada;8,00;8,00;20,00;20,00;0,00; ARI;ARI;160;377,45;RUA JOSÉ QUIRINO FILHO;Lote 12;Lote 51;Lote 53;28723;30/03/2022;60391,49
Jardim das Acácias II;Quadra;003;Lote;053;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA JOSÉ QUIRINO FILHO;Lote 11;Lote 52;Lote 54;28724;30/03/2022;60327,27
Jardim das Acácias II;Quadra;003;Lote;054;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;345,45;RUA JOSÉ QUIRINO FILHO;Lote 10;Lote 53;Lote 55;28725;30/03/2022;55271,98
Jardim das Acácias II;Quadra;003;Lote;055;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA JOSÉ QUIRINO FILHO;Lote 09;Lote 54;Lote 56;28726;30/03/2022;60327,27
Jardim das Acácias II;Quadra;003;Lote;056;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA JOSÉ QUIRINO FILHO;Lote 08;Lote 55;Lote 57;28727;30/03/2022;60327,27
Jardim das Acácias II;Quadra;003;Lote;057;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA JOSÉ QUIRINO FILHO;Lote 07;Lote 56;Lote 58;28728;30/03/2022;60327,27
Jardim das Acácias II;Quadra;003;Lote;058;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;270,67;RUA JOSÉ QUIRINO FILHO;Lote 06;Lote 58;Lote 59;28729;30/03/2022;43307,04
